time,seconds_elapsed,z,y,x
1725631020259626200,0.019626220703125,-6.811304985702037,-6.852364141321182,-1.6797678807906806
1725631020269580000,0.029580078125,-6.786024998494982,-6.873556566953659,-1.6954283912591634
1725631020279533000,0.039532958984375,-6.767236711394786,-6.888089534696936,-1.7114667951293288
1725631020289486000,0.049486083984375,-6.756436500439047,-6.893212869060039,-1.7333707300320267
1725631020299439000,0.059439208984375,-6.754133484193682,-6.889768866086006,-1.7558895819626748
1725631020309392100,0.06939208984375,-6.759034115716815,-6.878736599940061,-1.780121959812939
1725631020319345200,0.07934521484375,-6.7672986707150935,-6.859518104729056,-1.8223812850020824
1725631020329298000,0.0892978515625,-6.776299723294377,-6.832163649335503,-1.8904187561787664
1725631020339251000,0.0992509765625,-6.780944918751716,-6.80001786801219,-1.9871911773219704
1725631020349204000,0.109203857421875,-6.780258690053224,-6.764391258835792,-2.1074851976975797
1725631020359157000,0.119156982421875,-6.78028499353826,-6.724701053482294,-2.2308101102016864
1725631020369110000,0.129110107421875,-6.778745362880826,-6.688474724847078,-2.34164554348886
1725631020379063000,0.13906298828125,-6.770265119305253,-6.664408789604902,-2.433012452326715
1725631020389016000,0.14901611328125,-6.752615480846166,-6.6540937318176026,-2.5091049274042247
1725631020398969000,0.158968994140625,-6.72394351311326,-6.660726301699876,-2.567819274440408
1725631020408922000,0.168922119140625,-6.686622374978661,-6.683725484493374,-2.605239781296253
1725631020418875100,0.178875244140625,-6.64770140043199,-6.7122536598414175,-2.6313682020261884
1725631020428828000,0.188827880859375,-6.616987113216519,-6.736357589006423,-2.6471400639146565
1725631020438781000,0.198781005859375,-6.59147097916603,-6.759038791891932,-2.6529756382003424
1725631020448734000,0.20873388671875,-6.567142009073495,-6.78511431339085,-2.646742296768725
1725631020458687000,0.21868701171875,-6.5464446734815835,-6.808753547653556,-2.6372955462485552
1725631020468640000,0.228639892578125,-6.536932748770713,-6.819988058373331,-2.6318536474555727
1725631020478593000,0.238593017578125,-6.534108923521638,-6.824453221088647,-2.6272876547142863
1725631020488546000,0.248546142578125,-6.53843029385209,-6.8229194356501095,-2.620512753751874
1725631020498499000,0.2584990234375,-6.5532806569814674,-6.821261731570958,-2.5875246763855215
1725631020508452000,0.2684521484375,-6.577396861106157,-6.814261497420072,-2.5444173560649155
1725631020518405000,0.278405029296875,-6.606437077629566,-6.806224905958771,-2.490116441556811
1725631020528358100,0.288358154296875,-6.638263125479221,-6.797455324047803,-2.428670769860595
1725631020538312200,0.298312255859375,-6.6718287104725835,-6.788198250880837,-2.361661326557398
1725631020548265200,0.30826513671875,-6.716310241755843,-6.759484782093763,-2.3175271474070844
1725631020558218000,0.318218017578125,-6.7781380446374415,-6.706936264210939,-2.2900322606295345
1725631020568171000,0.3281708984375,-6.85482907012999,-6.635488400068879,-2.2698004967227576
1725631020578124000,0.3381240234375,-6.938281260320544,-6.55691462956965,-2.2444404300168155
1725631020588077000,0.3480771484375,-7.012793188208341,-6.489122949847578,-2.2096141774378717
1725631020598030000,0.358030029296875,-7.0537874618977305,-6.45911242698729,-2.1666396897166966
1725631020607983000,0.367983154296875,-7.031748064047098,-6.497081799897551,-2.1243423706047238
1725631020617936100,0.37793603515625,-6.923553062266111,-6.6172331969320775,-2.1087965725570914
1725631020627889200,0.38788916015625,-6.731836896711587,-6.802313869994879,-2.140393633956462
1725631020637842200,0.39784228515625,-6.507245466515421,-6.987905999711155,-2.2350195445902643
1725631020647795200,0.407795166015625,-6.301696590441465,-7.12353962803781,-2.3904366085343063
1725631020657748200,0.417748291015625,-6.132178228169679,-7.2092585941165686,-2.567753515727818
1725631020667701000,0.427700927734375,-5.9970420279711485,-7.249604048508405,-2.7657006846264003
1725631020677654000,0.437654052734375,-5.891238305240869,-7.2484279904663556,-2.9873055002272126
1725631020687607000,0.44760693359375,-5.807518988546729,-7.2058420636713505,-3.243293939206004
1725631020697560000,0.45756005859375,-5.7365340657413,-7.141691370800137,-3.5012566008672117
1725631020707513000,0.46751318359375,-5.680593567332625,-7.066382155054807,-3.7373087517544623
1725631020717466000,0.477466064453125,-5.670676568952202,-6.976594916623831,-3.9167508344084023
1725631020727419100,0.487419189453125,-5.743147930923104,-6.854822055867314,-4.024680170990527
1725631020737372200,0.4973720703125,-5.8948255160778755,-6.667274115908145,-4.119329754760861
1725631020747325200,0.5073251953125,-6.094052203392982,-6.431978920868039,-4.202684914317727
1725631020757278200,0.5172783203125,-6.311551044979691,-6.162625973403453,-4.28447823138535
1725631020767231200,0.527231201171875,-6.513979158684611,-5.876181021362543,-4.382802119754254
1725631020777184000,0.53718408203125,-6.663281246879697,-5.607881966865063,-4.50807422080338
1725631020787137000,0.547136962890625,-6.743699183940887,-5.371240617913007,-4.673614619354903
1725631020797090000,0.557090087890625,-6.753249102574586,-5.165964713561535,-4.886390524072945
1725631020807043000,0.56704296875,-6.6919526300907135,-4.982384508189559,-5.1540270230084655
1725631020816997000,0.5769970703125,-6.565545679792762,-4.818574878953397,-5.46308829600513
1725631020826950100,0.5869501953125,-6.367610201331972,-4.663897527460754,-5.819964044100046
1725631020836903200,0.596903076171875,-6.118458330374955,-4.493851341922581,-6.208071965804696
1725631020846856200,0.606856201171875,-5.856095095667243,-4.322558663454652,-6.572063098862767
1725631020856809200,0.616809326171875,-5.597569247165322,-4.169697129212319,-6.888484671494364
1725631020866762200,0.62676220703125,-5.329333905553818,-4.019300816039741,-7.184276128551364
1725631020876715300,0.63671533203125,-5.037638193377852,-3.844985282619297,-7.48389503494203
1725631020886668300,0.646668212890625,-4.7012072674185035,-3.654517948082089,-7.791889555490016
1725631020896621300,0.656621337890625,-4.285177319565415,-3.4680060731723903,-8.110522374430298
1725631020906574000,0.666573974609375,-3.772558052051067,-3.290340937063098,-8.432784489783645
1725631020916527000,0.676527099609375,-3.201982270130515,-3.102289431495964,-8.734615811526774
1725631020926480100,0.686480224609375,-2.642528186205029,-2.8796000355288385,-8.994183278036116
1725631020936433200,0.69643310546875,-2.127549057691544,-2.6129230292752386,-9.209590115779637
1725631020946386200,0.70638623046875,-1.6967400583796202,-2.3012851837888357,-9.380594332695006
1725631020956339200,0.716339111328125,-1.3244732644073665,-1.9538127854637801,-9.518338669565319
1725631020966292200,0.726292236328125,-0.967475132041797,-1.5818864754922688,-9.629745619130134
1725631020976245200,0.736245361328125,-0.5782458050917834,-1.1947308130111545,-9.716409757104515
1725631020986198300,0.7461982421875,-0.1856244610833004,-0.8142459335308522,-9.771023390823602
