time,seconds_elapsed,z,y,x
1725629101829793500,0.02479345703125,-7.54031308773458,-6.255893455165625,-0.4217325068762526
1725629101839746600,0.03474658203125,-7.592092959332466,-6.1936652547895905,-0.41111484941318627
1725629101849699600,0.044699462890625,-7.645233013367652,-6.1274178819000715,-0.4189754267204553
1725629101859653400,0.0546533203125,-7.688110616585612,-6.072449443393945,-0.434388392168656
1725629101869606400,0.0646064453125,-7.714832034772634,-6.036378013059497,-0.4624829253397882
1725629101879559200,0.07455908203125,-7.727803160026669,-6.0161740139424795,-0.5070407001970335
1725629101889512200,0.08451220703125,-7.719120087355375,-6.02926671974957,-0.48323224684726446
1725629101899465200,0.09446533203125,-7.683737223806977,-6.0835471759915345,-0.3478806137997657
1725629101909418200,0.104418212890625,-7.62998283726573,-6.156793613988161,-0.2182755798465572
1725629101919371300,0.114371337890625,-7.580025504919886,-6.218907832595706,-0.1969412249927409
1725629101929324300,0.12432421875,-7.529471960246562,-6.280356865292787,-0.18588974268967284
1725629101939277300,0.13427734375,-7.466096927922964,-6.356968395808339,-0.1293960673776455
1725629101949230300,0.144230224609375,-7.400158767113089,-6.434667721560597,-0.05555139862638898
1725629101959183400,0.154183349609375,-7.351039054635167,-6.49091158683002,-0.026038082415226378
1725629101969136400,0.164136474609375,-7.325733932986855,-6.5193462386757135,-0.04612469538040459
1725629101979089400,0.17408935546875,-7.313496967226267,-6.531942100876569,-0.12988561359341255
1725629101989042200,0.184042236328125,-7.301355863055586,-6.54068654834628,-0.2828662898365408
1725629101998995200,0.1939951171875,-7.273066757160425,-6.56437312888205,-0.42648353732824323
1725629102008948200,0.2039482421875,-7.223590486329794,-6.610781244313716,-0.5363733237957582
1725629102018901200,0.2139013671875,-7.164929623046517,-6.658302873945236,-0.7079294389728457
1725629102028854300,0.223854248046875,-7.114069204381108,-6.676153587934374,-0.9946735200908035
1725629102038807300,0.233807373046875,-7.0945391590029,-6.639784051436186,-1.3233151804134249
1725629102048760300,0.24376025390625,-7.112087090653181,-6.553447245720029,-1.6250921416208146
1725629102058713300,0.25371337890625,-7.130886483669281,-6.4571735678792,-1.9041420149743555
1725629102068666400,0.263666259765625,-7.130713465189934,-6.365511183226108,-2.1917080799996853
1725629102078620400,0.273620361328125,-7.106539977920055,-6.274111248901486,-2.510579676131904
1725629102088573400,0.283573486328125,-7.050610000905394,-6.1849792595088475,-2.8644930672898887
1725629102098526700,0.293526611328125,-6.983970998349785,-6.078915424537659,-3.231304226204753
1725629102108479700,0.303479736328125,-6.929068610817193,-5.9323903998404734,-3.600713292658329
1725629102118432800,0.313432861328125,-6.869216491922736,-5.748885597792268,-3.9918127973943944
1725629102128385800,0.3233857421875,-6.8183286007285115,-5.5105415365755555,-4.394850869466364
1725629102138338800,0.3333388671875,-6.782402716344595,-5.217312038961053,-4.790516951465606
1725629102148291600,0.34329150390625,-6.77092329095304,-4.864224577233195,-5.163749375599623
1725629102158244600,0.35324462890625,-6.7828142197549335,-4.446928262706101,-5.5125891167551275
1725629102168197600,0.36319775390625,-6.786170544445515,-3.9829529068514704,-5.852721819841862
1725629102178150700,0.373150634765625,-6.725533997175097,-3.5000630071684715,-6.219898012676834
1725629102188103700,0.383103759765625,-6.557334900808334,-3.017279490469396,-6.6383554799377915
1725629102198056700,0.393056640625,-6.264941269496083,-2.531026251833141,-7.107376428744196
1725629102208009700,0.403009765625,-5.846542838945984,-2.024915051038563,-7.608418655711412
1725629102217962800,0.412962646484375,-5.310947184991837,-1.4800804440960287,-8.11009216631949
1725629102227915800,0.422915771484375,-4.706223342014849,-0.897245922974497,-8.556680918565393
1725629102237868800,0.432868896484375,-4.168415857230126,-0.3257187586132437,-8.870659189698099
1725629102247821800,0.44282177734375,-3.7258199740126727,0.20113644819287582,-9.06907865228355
1725629102257774600,0.452774658203125,-3.3002839466676113,0.701246600208059,-9.207973912754655
1725629102267727600,0.4627275390625,-2.8613185289070007,1.1858501719411463,-9.304676045140624
1725629102277681700,0.472681640625,-2.4461529427982867,1.6161359510965645,-9.358141677868366
1725629102287634700,0.482634765625,-2.1212674932040274,2.0126967899784445,-9.3605370485723
1725629102297587700,0.492587646484375,-1.8393473251111805,2.3913038928881285,-9.331068377503753
1725629102307540700,0.502540771484375,-1.616086558996886,2.763541460765898,-9.269383782485127
