time,seconds_elapsed,z,y,x
1725631158852317700,0.019317626953125,-8.021608996224403,-5.5989872972697015,0.6895745017886161
1725631158862353000,0.029352783203125,-7.990721690529584,-5.646079303312301,0.6637371729597449
1725631158872386800,0.03938671875,-7.956013365241884,-5.697078838187456,0.6446124935120344
1725631158882420700,0.049420654296875,-7.91911308286786,-5.749551368224621,0.633000820042938
1725631158892455000,0.059454833984375,-7.880844434750079,-5.802381625658273,0.62852104428038
1725631158902488800,0.06948876953125,-7.842489861914515,-5.854260281455517,0.627195421699807
1725631158912523800,0.079523681640625,-7.804605244678259,-5.904755373939872,0.6264088013667612
1725631158922558000,0.089557861328125,-7.767105827367305,-5.954149811705946,0.6249426743369549
1725631158932591900,0.099591796875,-7.731217936906218,-6.00091740809977,0.6226108703885227
1725631158942625800,0.109625732421875,-7.69307437647283,-6.048090662685036,0.6384295670934022
1725631158952660700,0.11966064453125,-7.6505591768264765,-6.097408528083562,0.6789277278289199
1725631158962695000,0.12969482421875,-7.6061548024326555,-6.146777246886492,0.7307022656645625
1725631158972728800,0.139728759765625,-7.565982366520166,-6.191379189679027,0.7701357197780162
1725631158982762800,0.1497626953125,-7.534775327351689,-6.225808698025346,0.7980283737014978
1725631158992798000,0.1597978515625,-7.50901778576076,-6.252200445866585,0.8336834052547812
1725631159002832000,0.169831787109375,-7.487254282242059,-6.269680572977662,0.8958289688486606
1725631159012865800,0.17986572265625,-7.471977218133211,-6.274839563176036,0.9830172768276184
1725631159022900700,0.189900634765625,-7.465315422156452,-6.267437762486934,1.0764189794287085
1725631159032935000,0.199934814453125,-7.469626855614781,-6.249684663653373,1.1473863665774464
1725631159042968800,0.20996875,-7.487231485888361,-6.22399083494842,1.172045153146237
1725631159053002800,0.220002685546875,-7.516144861161709,-6.194006031051278,1.1455340897742659
1725631159063038000,0.230037841796875,-7.548824895492196,-6.165690037149191,1.0816190322898327
1725631159073071900,0.24007177734375,-7.576382764503359,-6.145655549380183,0.9998647320583463
1725631159083105800,0.250105712890625,-7.595449284023046,-6.136173435285687,0.9093462567433714
1725631159093140000,0.260139892578125,-7.605001540744304,-6.1362669587880365,0.8249645306177437
1725631159103175000,0.2701748046875,-7.607893755054474,-6.141703596884012,0.7548633318442851
1725631159113208800,0.280208740234375,-7.608741896316409,-6.148353702422976,0.6893305369649082
1725631159123242800,0.29024267578125,-7.603485290962457,-6.159911453747749,0.6425605294182897
1725631159133277000,0.30027685546875,-7.588665907493233,-6.179206521326303,0.6324052653025836
1725631159143311600,0.3103115234375,-7.567325013300776,-6.202212133860588,0.6622253801573067
1725631159153345800,0.320345703125,-7.545183908641338,-6.221199158403277,0.7329835084695369
1725631159163380000,0.3303798828125,-7.528803851726651,-6.2276873513787985,0.8386888123266398
