time,seconds_elapsed,z,y,x
1725629631602334500,0.03333447265625,-7.910597183457017,-5.746019686967134,0.7590076651073991
1725629631612368600,0.04336865234375,-7.92547326554954,-5.718512671360373,0.8098588044878094
1725629631622402600,0.053402587890625,-7.9431451158404345,-5.684938903060555,0.8708025910764932
1725629631632436500,0.0634365234375,-7.961894239974021,-5.648574042737484,0.9339304437059909
1725629631642470700,0.073470703125,-7.976741095972061,-5.617948018327355,0.9902764541756361
1725629631652504600,0.083504638671875,-7.985145936223864,-5.595892253863811,1.0458579830788075
1725629631662538500,0.09353857421875,-7.993121152886748,-5.569949418833851,1.1207375752352178
1725629631672572700,0.10357275390625,-7.99738816268146,-5.542223207518458,1.223081585965678
1725629631682606600,0.113606689453125,-7.9956725909352295,-5.51855182455182,1.3361113874919712
1725629631692640500,0.123640625,-7.985866651713848,-5.502888975995779,1.4541440388068556
1725629631702674700,0.1336748046875,-7.972294053435325,-5.4883139226764435,1.5783929342880845
1725629631712708600,0.14370849609375,-7.959661950877308,-5.469725542062521,1.7018429344765842
1725629631722742500,0.153742431640625,-7.95046566798687,-5.442138446956872,1.8285526671133934
1725629631732776700,0.163776611328125,-7.943179602631926,-5.407074732360243,1.9595489910282193
1725629631742810400,0.173810302734375,-7.938209413003921,-5.370291354364157,2.0773038483150303
1725629631752844500,0.183844482421875,-7.931059541249275,-5.340203674614429,2.1796558231562373
1725629631762878700,0.193878662109375,-7.916133774796128,-5.328055556181073,2.2620874381273985
1725629631772912400,0.203912353515625,-7.894044692584872,-5.342608982190489,2.3045539763264355
1725629631782946600,0.213946533203125,-7.870263419502973,-5.383076601657271,2.2916860191859305
1725629631792980700,0.223980712890625,-7.853788670042157,-5.440533934369683,2.211105731169879
1725629631803014400,0.234014404296875,-7.846630614981055,-5.505616355133056,2.070979905990511
1725629631813048600,0.244048583984375,-7.8425927377671,-5.5731163584321735,1.898549894055724
1725629631823082800,0.254082763671875,-7.837673401543498,-5.637636469137668,1.7199756802774964
1725629631833117400,0.264117431640625,-7.833273120757937,-5.690706380546093,1.5575871698856354
1725629631843151600,0.274151611328125,-7.832700873827934,-5.725995720592141,1.4255387065693734
1725629631853185500,0.284185546875,-7.838710343375801,-5.739115898928046,1.3369948923282324
1725629631863219500,0.294219482421875,-7.854470807087421,-5.727431890875101,1.2939094915784894
1725629631873253600,0.304253662109375,-7.880871907278895,-5.689626768615842,1.3001523314908146
1725629631883287600,0.31428759765625,-7.9182865689158435,-5.626314864656329,1.3474817995510995
1725629631893321500,0.324321533203125,-7.966924050834774,-5.540222389090061,1.4157825978390872
1725629631903355600,0.334355712890625,-8.023110048437118,-5.436614715099334,1.4977680764779449
1725629631913389600,0.3443896484375,-8.079423471811413,-5.316203790345788,1.6221226242907345
1725629631923423500,0.354423583984375,-8.13006469476819,-5.18001545074582,1.7999623863145708
1725629631933457700,0.364457763671875,-8.171602573814988,-5.040168004116416,1.9980004483669995
1725629631943491600,0.37449169921875,-8.196891913372278,-4.91164099292457,2.2038877626150843
1725629631953525500,0.384525390625,-8.203335098162293,-4.788903378789127,2.437638504692167
1725629631963559700,0.3945595703125,-8.196614849996566,-4.651518815141916,2.710952318611741
1725629631973593600,0.404593505859375,-8.188296518984437,-4.48464103050679,3.001695552368462
1725629631983627500,0.41462744140625,-8.173038744097948,-4.295505821356177,3.304609700912237
1725629631993661700,0.42466162109375,-8.141786696743965,-4.099613246899843,3.615918460574746
