time,seconds_elapsed,z,y,x
1725630284070380300,0.02438037109375,-7.673924854844808,-6.104147480949759,-0.14368605667790396
1725630284080333300,0.034333251953125,-7.680158780798315,-6.095428752443194,-0.1769315794040449
1725630284090286000,0.0442861328125,-7.697628971037268,-6.0727662542581555,-0.1959504421234131
1725630284100239000,0.054239013671875,-7.719156912234425,-6.045120706963539,-0.20375141646424308
1725630284110193000,0.06419287109375,-7.736247163245081,-6.023235038369894,-0.20371817178176715
1725630284120146000,0.07414599609375,-7.743451980057358,-6.014374271044135,-0.1913994460218586
1725630284130099000,0.084098876953125,-7.737799653384089,-6.022597909510135,-0.15861536679500712
1725630284140052000,0.094052001953125,-7.719235238167643,-6.04758037507534,-0.10279717959174886
1725630284150006000,0.104006103515625,-7.691926960003376,-6.0830976786583655,-0.023826648876874242
1725630284159959000,0.113958984375,-7.662026911780238,-6.12031594094038,0.07389864112793001
1725630284169912000,0.123912109375,-7.635117277544737,-6.15172347111702,0.17796452091466636
1725630284179865000,0.133864990234375,-7.6110256233394145,-6.177540049418806,0.28404148936206475
1725630284189819100,0.143819091796875,-7.5830217641264195,-6.206508954271674,0.38392957657407967
1725630284199772200,0.153772216796875,-7.541292161899805,-6.2517550401866435,0.46351906345449384
1725630284209725200,0.16372509765625,-7.466238382220268,-6.339331616830825,0.488407457528077
1725630284219678200,0.17367822265625,-7.3641428663581605,-6.4589078443259,0.47148485470190643
1725630284229632300,0.18363232421875,-7.247746437942982,-6.5922039696156975,0.4282543098604306
1725630284239585300,0.193585205078125,-7.129740820765495,-6.723907272756099,0.3553343638718128
1725630284249538300,0.203538330078125,-7.026645187950134,-6.83451985707283,0.2932307031909004
1725630284259491300,0.2134912109375,-6.951807681369781,-6.912132673585415,0.25528719537425787
1725630284269445000,0.223445068359375,-6.914687034243345,-6.950945511582494,0.20457274278448895
1725630284279398100,0.233398193359375,-6.921266412633657,-6.946192764097452,0.12986205005473456
1725630284289351200,0.24335107421875,-6.961165876823664,-6.907170082741976,0.05958610663572326
1725630284299305200,0.25330517578125,-7.0049629329741,-6.862610225525498,0.07388417421116028
1725630284309258200,0.26325830078125,-7.019675933459401,-6.843587545147538,0.24461828264798968
1725630284319211000,0.2732109375,-7.0148588885664935,-6.839253899857401,0.4321494176028296
1725630284329164000,0.2831640625,-7.024551430541276,-6.82409374012649,0.5077531227827072
1725630284339118000,0.2931181640625,-7.046548742815852,-6.800609988686442,0.5179167528679595
1725630284349071000,0.303071044921875,-7.074897469943761,-6.772942229560017,0.4934242262441665
